survey_concept_id,version_id,question_concept_id,is_main,order
1333342,1,1333102,1,1
1333342,1,1332748,1,2
1333342,1,1333105,1,3
1333342,1,1332734,1,4
1333342,1,1332735,1,5
1333342,1,1332738,1,6
1333342,1,1332762,1,7
1333342,1,1333301,1,8
1333342,1,1333119,1,9
1333342,1,1333300,1,10
1333342,1,1333325,1,11
1333342,1,715711,0,12
1333342,1,1333235,0,13
1333342,1,1332763,1,14
1333342,1,1333156,1,15
1333342,1,1333327,1,16
1333342,1,1333326,0,17
1333342,1,1333014,0,18
1333342,1,1332742,1,19
1333342,1,1333324,1,20
1333342,1,1333012,0,21
1333342,1,1333234,0,22
1333342,1,1333303,1,23
1333342,1,1333292,1,24
1333342,1,1332866,1,25
1333342,1,1333295,1,26
1333342,1,1333296,1,27
1333342,1,1332867,1,28
1333342,1,1333291,1,29
1333342,1,1333294,1,30
1333342,1,1332847,1,31
1333342,1,1333104,1,32
1333342,1,1332835,1,33
1333342,1,1332749,1,34
1333342,1,1332750,1,35
1333342,1,1333015,1,36
1333342,1,1333023,0,37
1333342,1,1333016,1,38
1333342,1,715714,0,39
1333342,1,1332843,1,40
1333342,1,1332874,1,41
1333342,1,1332737,0,42
1333342,1,715726,0,43
1333342,1,1332744,1,44
1333342,1,1332745,1,45
1333342,1,1332833,1,46
1333342,1,1332792,1,47
1333342,1,1333200,1,48
1333342,1,1333168,1,49
1333342,1,1333185,1,50
1333342,1,1333188,1,51
1333342,1,1333190,1,52
1333342,1,1333191,1,53
1333342,1,1333193,1,54
1333342,1,1333194,1,55
1333342,1,1333163,1,56
1333342,1,1333165,1,57
1333342,1,1333195,1,58
1333342,1,1333167,1,59
1333342,1,1333184,1,60
1333342,1,1333187,1,61
1333342,1,1333189,1,62
1333342,1,1333192,1,63
1333342,1,1333121,1,64
1333342,1,1333281,1,65
1333342,1,1333274,1,66
1333342,1,1333275,1,67
1333342,1,1333276,1,68
1333342,1,1333277,1,69
1333342,1,1333278,1,70
1333342,1,1333279,1,71
1333342,1,1333285,1,72
1333342,1,1333280,1,73
1333342,1,1332878,1,74
1333342,1,1332794,1,75
1333342,1,1332854,1,76
1333342,1,1332861,1,77
1333342,1,1332862,1,78
1333342,1,1332863,1,79
1333342,1,1332944,1,80
1333342,1,1332868,1,81
1333342,1,1332869,1,82
1333342,1,1332998,1,83
1333342,1,1333286,1,84
1333342,1,1332870,0,85
1333342,1,903633,0,86
1333342,1,903631,0,87
1333342,1,1333288,1,88
1333342,1,1332871,0,89
1333342,1,903634,0,90
1333342,1,903629,0,91
1333342,1,1333289,1,92
1333342,1,1332872,0,93
1333342,1,903635,0,94
1333342,1,903630,0,95
1333342,1,1333287,1,96
1333342,1,903641,0,97
1333342,1,903642,0,98
1333342,1,1333216,1,99
1333342,1,1333186,1,100
1333342,1,1333221,1,101
1333342,1,1333182,1,102
1333342,1,1333183,1,103
1333342,1,1333164,1,104
1333342,1,1333120,1,105
1333342,1,1333166,1,106
1333342,1,1333011,1,107
1333342,1,1332849,0,108
1333342,1,715719,0,109
1333342,1,715713,0,110
1333342,1,715721,0,111
1333342,1,1332767,1,112
1333342,1,1333299,1,113
