"ancestor_id","descendant_id"
920064,920064
920064,920064
925952,925952
925952,925952
1516800,1516800
1516800,1516800
1517824,1517824
1517824,1517824
43532032,43532032
43532032,43532032
19038464,19038464
19038464,19038464
19041536,19041536
19041536,19041536
42898944,42898944
42898944,42898944
42899712,42899712
42899712,42899712
42900224,42900224
42900224,42900224
904704,904704
904704,904704
19004160,19004160
19004160,19004160
19009025,19009025
19009025,19009025
43532033,43532033
43532033,43532033
1589505,1589505
1589505,1589505
19100417,19100417
19100417,19100417
42900481,42900481
42900481,42900481
766209,766209
766209,766209
966913,966913
966913,966913
19127890,19128065
19127890,19128065
1503184,19128065
1503184,19128065
1521369,19128065
1521369,19128065
19063297,19063297
19063297,19063297
19001345,19001345
19001345,19001345
19007490,19007490
19007490,19007490
1316354,1316354
1316354,1316354
19038440,46275842
19038440,46275842
44507650,44507650
44507650,44507650
1126658,1126658
1126658,1126658
738818,738818
738818,738818
19025922,19025922
19025922,19025922
43012354,43012354
43012354,43012354
43013634,43013634
43013634,43013634
1740546,1740546
1740546,1740546
44816294,44816130
44816294,44816130
40164866,40164866
40164866,40164866
40172802,40172802
40172802,40172802
19006467,19006467
19006467,19006467
529411,529411
529411,529411
19011331,19011331
19011331,19011331
1000560,19079171
1000560,19079171
45892867,45892867
45892867,45892867
1775741,46287363
1775741,46287363
1792515,1792515
1792515,1792515
19095043,19095043
19095043,19095043
19042819,19042819
19042819,19042819
42900483,42900483
42900483,42900483
19068419,19068419
19068419,19068419
19009540,19009540
19009540,19009540
1314273,46275076
1314273,46275076
19022596,19022596
19022596,19022596
19026180,19026180
19026180,19026180
1550557,19095812
1550557,19095812
1337860,1337860
1337860,1337860
19035396,19035396
19035396,19035396
19043076,19043076
19043076,19043076
42898180,42898180
42898180,42898180
1350066,40022532
1350066,40022532
1302788,1302788
1302788,1302788
40165636,40165636
40165636,40165636
1501700,1501700
1501700,1501700
1309188,1309188
1309188,1309188
19008261,19008261
19008261,19008261
986117,986117
986117,986117
19010309,19010309
19010309,19010309
1560171,19077637
1560171,19077637
45775636,45892101
45775636,45892101
19091973,19091973
19091973,19091973
1335301,1335301
1335301,1335301
724394,40071173
724394,40071173
42898949,42898949
42898949,42898949
42899461,42899461
42899461,42899461
42900229,42900229
42900229,42900229
19122437,19122437
19122437,19122437
904453,904453
904453,904453
907013,907013
907013,907013
777221,777221
777221,777221
928006,928006
928006,928006
929542,929542
929542,929542
1192710,1192710
1192710,1192710
19037446,19037446
19037446,19037446
1335539,40078598
1335539,40078598
42898950,42898950
42898950,42898950
19127890,19129350
19127890,19129350
1503184,19129350
1503184,19129350
1521369,19129350
1521369,19129350
1436678,1436678
1436678,1436678
916230,916230
916230,916230
1114375,1114375
1114375,1114375
19137031,19137031
19137031,19137031
1312007,1312007
1312007,1312007
19073031,19073031
19073031,19073031
19078151,19078151
19078151,19078151
1329415,1329415
1329415,1329415
948487,948487
948487,948487
1346823,1346823
1346823,1346823
42899463,42899463
42899463,42899463
1154332,1156615
1154332,1156615
1163944,1156615
1163944,1156615
905223,905223
905223,905223
1366279,1366279
1366279,1366279
1703687,1703687
1703687,1703687
19008264,19008264
19008264,19008264
