id,parent_id,domain_id,is_standard,type,subtype,concept_id,code,name,value,est_count,is_group,is_selectable,has_attribute,has_hierarchy,has_ancestor_data,path,synonyms
328273,328203,PERSON,1,AGE,,,,70,70,4355,0,1,0,0,0,,
328274,328203,PERSON,1,AGE,,,,71,71,4252,0,1,0,0,0,,
328275,328203,PERSON,1,AGE,,,,72,72,3994,0,1,0,0,0,,
328276,328203,PERSON,1,AGE,,,,73,73,4017,0,1,0,0,0,,
328277,328203,PERSON,1,AGE,,,,74,74,2953,0,1,0,0,0,,
328278,328203,PERSON,1,AGE,,,,75,75,2797,0,1,0,0,0,,
328279,328203,PERSON,1,AGE,,,,76,76,2615,0,1,0,0,0,,
328280,328203,PERSON,1,AGE,,,,77,77,2527,0,1,0,0,0,,
328281,328203,PERSON,1,AGE,,,,78,78,2044,0,1,0,0,0,,
328282,328203,PERSON,1,AGE,,,,79,79,1790,0,1,0,0,0,,
328283,328203,PERSON,1,AGE,,,,80,80,1518,0,1,0,0,0,,
328284,328203,PERSON,1,AGE,,,,81,81,1279,0,1,0,0,0,,
328285,328203,PERSON,1,AGE,,,,82,82,1158,0,1,0,0,0,,
328286,328203,PERSON,1,AGE,,,,83,83,1007,0,1,0,0,0,,
328287,328203,PERSON,1,AGE,,,,84,84,750,0,1,0,0,0,,
328288,328203,PERSON,1,AGE,,,,85,85,630,0,1,0,0,0,,
328289,328203,PERSON,1,AGE,,,,86,86,503,0,1,0,0,0,,
328290,328203,PERSON,1,AGE,,,,87,87,485,0,1,0,0,0,,
328291,328203,PERSON,1,AGE,,,,88,88,345,0,1,0,0,0,,
328292,328203,PERSON,1,AGE,,,,89,89,116,0,1,0,0,0,,
328293,328203,PERSON,1,AGE,,,,90,90,0,0,1,0,0,0,,
328294,328203,PERSON,1,AGE,,,,91,91,0,0,1,0,0,0,,
328295,328203,PERSON,1,AGE,,,,92,92,0,0,1,0,0,0,,
328296,328203,PERSON,1,AGE,,,,93,93,0,0,1,0,0,0,,
328297,328203,PERSON,1,AGE,,,,94,94,0,0,1,0,0,0,,
328298,328203,PERSON,1,AGE,,,,95,95,0,0,1,0,0,0,,
328299,328203,PERSON,1,AGE,,,,96,96,0,0,1,0,0,0,,
328300,328203,PERSON,1,AGE,,,,97,97,0,0,1,0,0,0,,
328301,328203,PERSON,1,AGE,,,,98,98,0,0,1,0,0,0,,
328302,328203,PERSON,1,AGE,,,,99,99,0,0,1,0,0,0,,
328303,328203,PERSON,1,AGE,,,,100,100,0,0,1,0,0,0,,
328304,328203,PERSON,1,AGE,,,,101,101,0,0,1,0,0,0,,
328305,328203,PERSON,1,AGE,,,,102,102,0,0,1,0,0,0,,
328306,328203,PERSON,1,AGE,,,,103,103,0,0,1,0,0,0,,
328307,328203,PERSON,1,AGE,,,,104,104,0,0,1,0,0,0,,
