"concept_id_1","concept_id_2"
2818048,2818048
4129024,4129024
2818560,2818560
2753536,2753536
45567311,46269952
45538535,46269952
45547580,198400
44833354,198400
198400,198400
45606089,46270464
1570190,46270464
45538655,46270464
45606090,46270464
2885888,2885888
19121953,920064
44019016,920064
2886400,2886400
134144,134144
1572080,134144
35210909,134144
35210907,134144
44830394,134144
44830392,134144
44830391,134144
2821632,2821632
4001280,4001280
2887680,2887680
45546106,135424
44830581,135424
16671,135424
1572372,135424
1572370,135424
45568194,135424
10344,135424
45597247,135424
10340,135424
2756864,2756864
2887936,2887936
4329728,4329728
2101760,2101760
44822465,201728
1574269,201728
201728,201728
16685,201728
45550924,201728
45575032,201728
45579846,201728
44825979,201728
16684,201728
45575031,201728
2102272,2102272
2757632,2757632
44835820,4330496
2757888,2757888
4068608,4068608
45567342,4134144
45601206,4134144
45591623,4134144
45548183,4134144
45548184,4134144
45533629,4134144
45586759,4134144
46274048,46274048
1568432,136960
45591206,136960
136960,136960
44820757,136960
2103040,2103040
4200192,4200192
2103296,2103296
45573091,4003840
2103552,2103552
2824448,2824448
4266240,4266240
2759168,2759168
1569770,4004352
1569771,4004352
4004352,4004352
35208473,4004352
45572267,4004352
2104320,2104320
2890752,2890752
2104576,2104576
2105344,2105344
40813638,925952
40813296,925952
40808977,925952
19041534,925952
40813298,925952
40817761,925952
40813306,925952
19081638,925952
40817923,925952
40810584,925952
40817773,925952
40817943,925952
40232571,925952
40228552,925952
40799684,925952
43126097,925952
40227557,925952
40817942,925952
40806533,925952
40811854,925952
40803960,925952
43572551,925952
21014779,925952
40804868,925952
40818016,925952
19082823,925952
1719054,925952
40226318,925952
19082443,925952
40802194,925952
19022367,925952
40799681,925952
21014801,925952
21014772,925952
21016419,925952
19044495,925952
19088931,925952
19098893,925952
19082473,925952
19098892,925952
40817774,925952
19048507,925952
1719049,925952
40813307,925952
40817973,925952
40236956,925952
40818518,925952
46221251,925952
43131472,925952
40241049,925952
43572550,925952
21019026,925952
40237695,925952
19082475,925952
43525939,925952
2826496,2826496
2892288,2892288
4137472,4137472
4268544,4268544
44820121,74496
45552072,4203264
2106368,2106368
43130462,1516800
43130470,1516800
19021836,1516800
